text,label,sentiment_score
STK1203@VAX003.STOCKTON.EDU Pontificated: One sci.space FAQ postings deal this. It's archived somewhere. Perhaps someone post (I don' remember).,1,0.0
"Any prize like going need worded carefully enough cannot get without demonstrating sustained reliable capability, rather lucky one-shot. It done.",1,0.8442
,1,0.0
"There discussion real fans ones respect teams matter ow bad are. That's bullshit. Anyone would follow Pens Pirates parts early eighties devoted basis losers. It's OK follow concerned home team. But give respect even clear management players suck required true fan.A true fan would follow team troubled times extent could discuss improve team. When I visit PIttsburgh, I'll refuse go Pirates game since I think management given PIttsburgh team could much better even sign Barry Bonds. Lert's say Pens start team Oilers done year Whalers done recent years, I would hard pressed show much enthusiasm team. I'll still follow bitch it. But I waste money mediocre teams.",0,0.8109
"I ""notice"" refs linesmen playoffs come around, yes I agree Stewart called *two* worst games I've seen far (Mtl-Quebec game 1, last nights Toronto-Detroit game). What's scoop guy? Is latest incarnation KERRY FRASER??? Just boneheadedly stubborn make good ref!!! Making right call does... My votes for: Best Ref: Van Hellemond Most Improved: Koharski Worst: Paul Stewart (Oops, I really want start best/worst ref thread follow ;-)",0,0.8611
"fans game surely would rather see Broten taking pass Kovalev scoring breakaway goal put Rangers 3 (magic #) goals third period, rather seeing Kocur take another stupid penalty Rangers giving another powerplay goal! The Rangers need another top flight center take pressure Messier first line. Nemchinov perfect third line center. So goes Beezer Richter?",0,0.3595
"What NASA's annual budget? This year do, years back wpuld nice I need item fast emails top head much appreciated (FAQs vanish here!). -Tony Ryan, ""Astronomy & Space"", new International magazine, available from: Astronomy Ireland, P.O.Box 2888, Dublin 1, Ireland. 6 issues (one year sub.): UK 10.00 pounds, US$20 surface (add US$8 airmail). ACCESS/VISA/MASTERCARD accepted (give number, expiration date, name&address).",1,0.8622
"According morning's Post-Gazette: The Pens carried KDKA-Radio(1020 am), unless Pirates playing. When Pirates play, games carried WDVE(102.5 fm). WDVE carry 12 games, starting tonight's game. In fact, season, KDKA longer flagship station Pens. The Penguins KBL struck new deal regarding TV radio rights games. It seems likely WDVE flagship radio station next season. KBL carry 62 games tv, 17 games simulcast KDKA-TV. The remaining 22 games, well early round playoff games, available ""subscription tv"" only. To receive games, pay one time hook fee, monthly fee $11-12 dollars. Also, new deal, longer radio/tv simulcasts. There TV broadcast team, radio broadcast team. No word announcers be. Mike Lange Paul Steigerwald contract KDKA, contracts expire end season. KBL President Bill Craig said like hire Lange Steigerwald.",0,0.6124
"Pray Wings become lazy overconfident...the Wings lose series...Toronto cannot win it. Take away Doug Gilmour Leafs old Tampa Bay. The Leafs deserve lot credit diligent effort regular season...but Detroit puts reasonable effort, contest.",0,-0.5223
"As subject suggests Flames impressive afternoon, dropping 6-3 decision LA Kings. Most Flames neglected show up, especially zone, Kings hit least five posts! The Flames best line probably Skrudland-Paslawski-Berube (which tells bad Flames were). Gary Suter scored great goal (in fact three Flame goals scored D-men - Yawney Dahlquist getting others), also made bonehead plays. For Kings, Pat Conacher especially impressive. The games VERY chippy, Dan Mirouelli lost control early never recovered it; high-sticks, cross-checks, punches, hits behind. Fleury got game misconduct rubbing Warren Rychel behind. Flames dominated game physically, failed take advantage due horrendous defensive lapses (I think Vernon blamed goals). Calgary went 7 D-men, Roger Johansson played LW; looked lost IMHO - I hope King inserts Chris Lindbergh, Paul Kruse, Sergei Makarov Wednesday's game. Gretzky left game 2nd period charley-horse; idea serious - return. I still think Flames win series, better buckle down.",0,0.8407
"There number Philosophical questions I would like ask: 1) If encounter life form space exploration, determine capture it, imprison it, discect it? 2) If encounter civilization suffering economicly, expend resources earth help them? 3) With deseases currently deadly undetectable, done ensure new deadly deseases brought back, deseases destroy life elsewhere? -- Have day,",1,0.4479
"I would say ""greatest philosopher"" title would go Plato since whole enterprise philosophy essentially defined him. Although got answers wrong, definitively identify important questions are. I think Descartes said ""All philosophy footnote Plato."" If I choose philosopher made important advances human knowledge lifetime, that's simple...it Aristotle. This much case many simply refer ""the philosopher"". Regarding Nietzsche, one entertaining, although since ideas fragmented (and since life cut short) doubtful influence philosopher likely extensive 500 years now. They'll probably still reading 500 years though. As ""modern"" philosophers, I would say Kant influential since strong influence almost everyone came (and unfortunately, maintained errors amplified time). I would say influential ""american"" philosopher would Dewey. But question philosopher highly regarded 500 years, may well Ayn Rand (who every important respect ""American"", born Russia). But I guess remains seen.",1,0.9136
"Dale Hawerchuk Troy Murray captains Jets traded. (Murray year mid-season, Hawerchuk years ago off-season.)",0,0.0
"Believe not, DO phone books, current information include area code Edmonton Alberta. I would hostile towards others asking simple questions... ""I would rather appear stupid open moutha nd remove doubt."" -Mark Twain -- ""If assult someone get 5 years--In hockey, 5 minutes. Is great sport what?!""",0,-0.2942
"Wales Conference, Adams Division, Semifinal I'm hoping Fuhr miracle, I agree Boston likely win series. Goaltending equal, top offensive players equal (Mogilny-LaFontaine vs. Oates-Juneau), Buffalo answer Neely (not imply Neely top offensive player btw, fact one favourites even though damn Bruin :) ). And rest matchup wrt lineup favours Boston anyway. But I think go six. Agreed here...but Montreal pushed limit. Is me, everything Montreal playoffs come Roy? Go Habs!! Final I can't predict Montreal victory I've watching play 6 weeks IMO severly need tougher players, especially play Garden. Last time beat B's 5-2 Boston clear territorial advantage; victory Roy's. At time, I can't bring predict possibility loss, I'll say I putting money series. :-) Agreed. NY goaltending stop onslaught, independent trouble given Pittsburgh year. Pens five, credit NY. Agreed too, I think go least six. Jersey decent team, Washington done poorly division year. I think use Tabaracci Beaupre gets shelled. I think go six either...*maybe* five. If Pittsburgh plays Boston, IMO win likely five, possibly six. They Bruins. If play Montreal, I think go seven, I putting money seventh game. I say seven Habs played Pittsburgh tough season. Chicago win, I think least six. Chicago good, IMO. And remember take ridiculous numbers penalties. Very true. The Leafs much proud of, soon find Montreal lousy playoffs. Toronto might win two three MLG though. Wings six, maybe even seven. It _will_ war...possibly intense playoff series all. And yes, I think Detroit win. Probert come big though. Our first disagreement. Canucks playing like shit. They use size *at* *all*, may explain get hammered 8-1 team chasing (Calgary)....Winnipeg six. This also tough call, I seen Smythe enough. I think Roberts well enough figure in, Coffey non-issue, cares Carson done before, *never* underestimate Gretzky. LA six. If two, Calgary need six games. But I think LA-Winnipeg anyway, LA seven, home ice. Wow, must've tough go team. But let's see, I picked LA-Detroit. Detroit win, probably six. If Pittsburgh plays Detroit, go longer five, I bet Wings. They strong, IMO, nobody knows *how* strong underachieving year. If forced choose, though, I'd take Penguins. A side note. Vlad, last week said Selanne better player Gilmour. NO WAY. He talented pure goal scorer...but aside age difference, way I would take Gilmour team. I'm asking flames, either, btw....I've spent enough time arguing behalf Selanne I still say great player. But Gilmour dangerous offensively (give Teemu edge), Gilmour *does* *it* *all*. I know lot Gilmour-bashing goes on, esp. Flame fans. But IMO guys letting dislike Gilmour cloud judgement comes skill. He easily one best all-round players NHL.",0,0.9979
I hear Daigle eb first pick next year. What word Kariya??? Anybody ever seen play TV???? Is also entering draft???,0,0.5204
"In pure speculation, I would guess cautions based hazardous pre-launch ops would qualify. Something like ""Caution: SRBs armed.""",1,0.3612
"Absolute nonsense. The decision made Pocklington's. He chose 20 mill Gretzky. If Gretzky upset able win cup LA I submit worth 20 mill. How know thinks (or thought)? The ""thought"" I see revealed own. You like Gretzky. Big deal. The real purpose diving merely attempt draw penalty. What player trying make checkers keep distance ref fooled. I can't imagine anyone would expect someone like Lemieux change game. Why pick 1 dimensional over-rated type like Hull Salami. --",0,0.3818
"If ESPN pisses off, call - respond calls. Last night I called said cutting baseball see sudden-death overtime BUffalo game. Apparently received enough calls waited overtime finish cutting away. Their phone number 203-585-2000",0,-0.4767
"The problem Commercial Titan MM made little attempt market it. They're basically happy government business want learn sell commercially. A secondary problem bit big. They'd need go multi-satellite launches, la Ariane, complicates marketing task quite significantly. They also problems launch facilities wrong time get started properly. If memory serves, pad used Mars Observer launch come heavy refurbishment work prevented launches year so. There CT launches. Mars Observer one them. So stranded Intelsat, least one brothers reached orbit properly.",1,-0.6908
Nice sig. Like change. BTW: Could post names people going letter? I (and I'm sure others) would like know included. If I'm I want be! Roger fool!,0,0.7955
"Good comeback, Rog. Your quick wit intelligence continues amaze everyone.",0,0.8591
"Another fish check Richard Rast -- works Lockheed Missiles, on-site NASA Johnson. Nick Johnson Kaman Sciences Colo. Spgs friend, Darren McKnight Kaman Alexandria, VA. Good luck. R. Landis",1,0.8442
"You know... I finished laughing I thought: This would great final. Two Canadian teams lots tradition Don Cherry nonsense behind nail-biter finish. Of course, I would prefer Vancouver--Montreal final Vancouver scoring final goal.... Pity neither happen.",0,0.5267
"How Kevin Hatcher? Scored roughly 35 goals, plays 30 minutes game. That's really sad two second-rate goalies (Barasso Belfour) main contenders Vezina. Call crazy, Tommy Soderstrom - five shutouts 6th place team really play defense. It's really unfortunate better goalies league (McLean, Essensa, Vernon) unspectacular years. BTW, going award Norris basis last 30 days, give Vezina Moog? He best goalie past month. Arbour King. Burns probably win, since playoffs taken consideration - OK regular season, I'm sure beaten anyone Hartford playoffs.",0,0.9307
"Hartford 1 1 3--5 NY Rangers 1 2 1--4 First period 1, Hartford, Cunneyworth 5 (Janssens, Greig) 12:21. 2, NY Rangers, Graves 34 (Turcotte, Zubov) 18:39. Second period 3, NY Rangers, Kovalev 19 (Turcotte, Graves) 2:12. 4, Hartford, Sanderson 44 (Cassels) pp, 4:54. 5, NY Rangers, Amonte 30 (Andersson, Vanbiesbrouck) pp, 19:13. Third period 6, NY Rangers, M.Messier 25 (Amonte, Andersson) 2:26. 7, Hartford, Sanderson 45 (Cassels) sh, 5:23. 8, Hartford, Nylander 6 (Ladouceur) 8:35. 9, Hartford, Verbeek 36 (Zalapski) 17:43. Hartford: 5 Power play: 4-1 Special goals: pp: 1 sh: 1 Total: 2 Scorer G A Pts --------------- --- --- --- Cassels 0 2 2 Cunneyworth 1 0 1 Greig 0 1 1 Janssens 0 1 1 Ladouceur 0 1 1 Nylander 1 0 1 Sanderson 2 0 2 Verbeek 1 0 1 Zalapski 0 1 1",0,0.4404
,1,0.0
"Yes, point well-taken ... however, even areas finally got games, there's something nagging back skull network national rights pocket says sports news, ""There's awesome overtime going Quebec City, *try* get update show ..."" know satellite's feedhorn somewhere ... From today's Times, ABC got great ratings Chicago St. Louis (a 4.2), Kings-Flames got 2.9 West Coast, 2.2 metro New York (i.e., Devils squandered newfound support year ago played Rangers )-;). In comparison, Seniors Golf better ... I fear overall national numbers great ... I can't tell ABC advance marketing not, 'cos I watch much TV ... NHL made sure solid cable going air. Even ESPN could've sold second rights third party systems (i.e., non-SportsChannel) since making extra money sitting games ... hockey fans necessarily watching pre-season beach volleyball playoffs games shown somewhere ... gld",0,0.9584
Please get REAL life.,1,0.3182
"I exactly follow ""dragless"" satellitte thread. What point it? used laser geodesy missions? triad seemed sort navy navigation bird, ""dragless"" update orbital parameters?",1,0.0
"Caps/Isles Fans, Anyone interested catching games Nassau Coliseum (hopefully another) catch game North Carolina's Original Sports Bar Chapel Hill. I'm pretty sure carry HTS well. They three games time last night. This place I know catch Stanley Cup action.",0,0.891
"-=> Quoting Cire Y. Trehguad All <=- : >And, subject, captain ever traded, : >resigned, striped title season? Any : >team captain trivia would appreciated. CYT> ; CYT> : Wasn't Ron Francis captain Whalers traded CYT> : Pittsburgh? CYT> And Rick Tochett captain Flyers traded Pens CYT> recently... CYT> Caleb CYT> And let us forget New Jersey Devils traded CYT> captain Kirk Muller Stephen Richer Chorske CYT> Man I hated trade! Well team captains traded first year NHL Edmonton Oilers traded captain Ron Chiperfield Quebec Nordique right trading deadline Goaltender Ron Lowe In second year existence The Edmonton Oilers right trade deadline traded captain, time B.J. McDonald Vancouver Canucks along rights winger Ken Berry Garry Lariviere rights Lars Gunner Petterson captain trivia, next Edmonton captain Lee Fogilin later traded Buffalo Sabres, Wayne Gretzky traded L A, came Kevin Low year traded N Y Rangers every captain Edmonton Oilers traded. The present captain Craig McTavish wait see. well talk later Steve",0,-0.2851
[...] How ironic.,1,-0.128
"So much would cost private venture, assuming could talk U.S. government leasing couple pads Florida?",1,0.0
It meaningless compare one player's plus/minus statistic another players' context role playing time players involved. To compare Jagr's Francis's plus/minus ridiculous absurd...,0,-0.5574
": Mike Adams suggested discussions long-term effects spaceflight : human being. I love topic, regulars know. : So, seen Henry's encouraging statement starting talk : it; I shall. : I feel community people unique resources : deliver world comprehensive book elaborate : utility spaceflight fields divergent : medical intensive care, agriculture, environmental protection, : probably more. I believe general public understands : impact spaceflight whole society. In absence : knowledge, see dwindling support world's space effort. Just contributions space program ""regular"" society: 1. Calculators 2. Teflon (So eggs stick pan) 3. Pacemakers (Kept grandfather alive 1976 1988) p.s. To regular contributors sci.space.news sci.space.shuttle, thanks hard work keeping us informed doings NASA space-type agencies. I much time read USENET, I ALWAYS read two groups....",1,0.9631
"""They're real spectacular"", Blues shutout Blackhawks consecutive playoff games. If Blues sweep Hawks Sunday, I launch broom onto ice last seconds game. ""Not there's anything wrong that."" Curtis Joseph ""master domain"", Hawks shooting puck like bunch ""chuckers"". Not even ""Superman"" could play better goal. Joseph must eating ""cereal."" ""It's like sauna here"" said spectator hot atmosphere wild crowd Arena. It ""very refreshing"" see Blues ""double-dip"" Hawks. The Hawks goons tried ""pick"" Hull, Janney, Joseph Blues checking line ""nipped"" Hawks real well. The fat ""Yoyoma"" sing Sunday, Hawks head ""beach"". The Hawks' trip back Chicago feel like long ""journey Milan Minsk"" Enjoy Sunday's game Junior Mints wash Snapple. Just little fun.",0,0.9668
"This definitely nothing entry government support science; relevant technology. There little involvement federal funds, except support state universities, state funds, scientific research WWII. The US research position growing steadily, funding mainly university private foundation funds. There many research universities, provided researchers low teaching loads, laboratories, assistants, equipment, funds travel scientific meetings. Not much, provided, university wishing get scholar consider research funding well salary. During WWII, military defense departments found pure scientists could quite well problems, even though exactly areas scientists' expertise. This probably ""research mind"" approach, try find solution, understand problem see solution emerges. This works stages, research scientists used discussion problems, job got done. The military realized importance maintaining scientists future, started funding pure research WWII. But Congress unwilling military funds diverted investment future supply scientists, set organizations, NSF, job. It also set elaborate procedure supposedly keep politics out. Also, government job private foundations, making difficult act support research. The worst part federal involvement areas government supports research university provide funding, fact expects scholars bring net government money. Suppose, case, I project could use assistance graduate student months. What think happens I ask one? The answer I get is, ""Get money NSF."" Now money university level thousand, NSF level comes 20 thousand, likely keep faculty member getting supported. So government is, effect, deciding projects get supported, much. Also, government decided ""wealth"" spread. So instead moderate number universities primarily research institutions, idea schools get act came being. And instead evaluating scholars, go evaluating reseach proposals. As researcher, I tell research proposal mainly wishful thinking, happens, investigator conceals already done work release results research. What I proposing today I may solve funding granted, I may find impossible, I may find difficult. In addition, tomorrow I may get unexpected research results. Possibly I may bet bright idea solves yesterday's difficult problem, whole new approach something I considered develop. This nature beast, except really vague statements, something predicted, major research, development routine activity requiring minimal attention good researcher. I believe time less quality research done would happened government never gotten it, government trying divert researchers thinkers plodders.",1,0.1488
"Neil Gehrels Prof. Tom Gehrels son. Tom Gehrels discoverer P/Gehrels 3 (as well 4 comets - latest bear name, rather name ""Spacewatch"" since observing system found latest comet). --------------------------------------------- Jim Scotti {jscotti@lpl.arizona.edu} Lunar & Planetary Laboratory University Arizona Tucson, AZ 85721 USA",1,0.2732
"I ""try reading bit"", Pat. I *work* government contractor know rules like. Yes, sign (damned -- everyone always go Washington see next week's funding) multi-year contracts; also willing include sufficient cancellation penalties *do* decide cut multi-year contract pay (which happen arbitrarily time, matter previous plans were) make risk acceptable something like putting private space station government expected prime occupant. I'd like source statement ""the reason cutting defense spending much would like""; I buy it. The thing I find bit 'funny' posting, Pat, several people answered question pretty much way I did; mine one comment (and incorrectly, I think) on. I think says lot. You Tommy move together. -- ""Insisting perfect safety people balls live real world."" -- Mary Shafer, NASA Ames Dryden",1,0.9493
"I think Primeau necessarily bad pick...I'm trying locate beginning Murray's decisions...he slowness trading Carson delayed Primeau's development...and wait longer big players often...and Primeau good player without point-a-game-player, especially team Yzerman Fedorov...if Primeau becomes Joel Otto, gets 20 goals season, plays mean...it extremely good pick.",0,0.34
"GAME(S) OF 4/15 --------------- ADIRONDACK 6 CDI 2 (Adirondack leads series, 1-0) ================================================= FIRST ROUND Springfield Indians vs Providence Bruins Gm 1: Springfield 3 PROVIDENCE 2 Gm 2: Springfield 5 PROVIDENCE 4 Gm 3: 4/16 Providence Springfield Gm 4: 4/17 Providence Springfield Gm 5: 4/22 Springfield Providence * Gm 6: 4/24 Providence Springfield * Gm 7: 4/27 Springfield Providence * CD Islanders vs Adirondack Red Wings Gm 1: ADIRONDACK 6 CDI 2 Gm 2: 4/17 CDI Adirondack Gm 3: 4/18 Adirondack CDI Gm 4: 4/21 Adirondack CDI Gm 5: 4/23 CDI Adirondack * Gm 6: 4/24 Adirondack CDI * Gm 7: 4/26 CDI Adirondack * Baltimore Skipjacks Binghamton Rangers Gm 1: 4/16 Baltimore Binghamton Gm 2: 4/17 Baltimore Binghamton Gm 3: 4/23 Binghamton Baltimore Gm 4: 4/24 Binghamton Baltimore Gm 5: 4/26 Baltimore Binghamton * Gm 6: 4/28 Binghmaton Baltimore * Gm 7: 4/30 Baltimore Binghamton * Utica Devils vs Rochester Americans Gm 1: 4/16 Utica Rochester Gm 2: 4/17 Utica Rochester Gm 3: 4/20 Rochester Utica Gm 4: 4/22 Rochester Utica Gm 5: 4/24 Utica Rochester * Gm 6: 4/26 Rochester Utica * Gm 7: 4/28 Utica Rochester * Moncton Hawks vs St John's Maple Leafs Gm 1: St John's 4 Moncton 2 Gm 2: 4/17 Moncton vs St John's Halifax Gm 3: 4/21 St John's Moncton Gm 4: 4/23 St John's Moncton Gm 5: 4/26 Moncton vs St John's Halifax * Gm 6: 4/28 St John's Moncton * Gm 7: 4/30 Moncton vs St John's Halifax * Cape Breton Oilers vs Fredericton Canadiens Gm 1: Fredericton 4 Cape Breton 3 (2OT) Gm 2: 4/16 Cape Breton Fredericton Gm 3: 4/20 Fredericton Cape Breton Gm 4: 4/22 Fredericton Cape Breton Gm 5: 4/24 Cape Breton Fredericton * Gm 6: 4/26 Fredericton Cape Breton * Gm 7: 4/28 Cape Breton Fredericton *",0,-0.5719
Showing meaningless (relatively) baseball game overtime game tied less 3 seconds left clock? Gimme break! Where ESPN get BRILLIANT decisions from?,0,0.5081
"For essay, I writing space shuttle need better propulsion system. Through research, I found rather clumsy (i.e. checks/tests launch), safety hazards (""sitting hydrogen bomb""), etc.. If beefs current space shuttle program Re: propulsion, please send ideas. Thanks lot.",1,0.872
Why activist guys cut misc.invest thread? They offer shares sale yet...,1,0.0258
"The ""face"" accident light shadow. There many ""faces"" landforms Earth; none artificial (well, excluding Mount Rushmore like...). There also smiley face Mars, Kermit The Frog. The question life mundane sense -- bacteria like -- quite closed, although odds it, orthodox exobiologists hoping fossils. There currently particular plans searches life. Mars Observer, currently approaching Mars, probably try get better image two ""face"" point. It's high priority; nobody takes seriously. The shadowed half face look face-like, take one shot different sun angle ruin illusion.",1,0.3182
... ... We must watching two different games. The Devil one hand Mario's elbow pulling elbow caused Mario fall call appropriate. Using clueless people substantiate claims give lot confidence call either. Next time consider getting second opinion clueful observer. Or maybe available disagreed.,0,-0.4019
"C-3's bird may flaking expecting die soon. C-3 may orbit major users areas, may needed provide redundancy plane b-4 may orbit hicksville, muc user community.",1,-0.5994
"Does anyone know ifthe STS-56 email press kit ever released? -Tony Ryan, ""Astronomy & Space"", new International magazine, available from: Astronomy Ireland, P.O.Box 2888, Dublin 1, Ireland. 6 issues (one year sub.): UK 10.00 pounds, US$20 surface (add US$8 airmail). ACCESS/VISA/MASTERCARD accepted (give number, expiration date, name&address).",1,0.34
"It's understanding freezing start occur growing distance Pluto Charon Sun, due elliptical orbit. It due shadowing effects. Pluto shadow Charon, vice-versa. George Krumins --",1,0.0772
,1,0.0
"Nowadays, usually computer. No theory predicted numeric discoveries listed above. No one yet write algorithm predict precise behavior precise level evolution. So remains experimenters gather data behavior. Gary",1,-0.5267
